Section,,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Quarterly Results,Sales,35,47,62,82
Quarterly Results,Expenses,23,33,45,57
Quarterly Results,Operating Profit,12,13,17,24
Quarterly Results,OPM %,33%,29%,28%,30%
Quarterly Results,Other Income,0,1,0,1
Quarterly Results,Interest,0,0,0,0
Quarterly Results,Depreciation,0,0,0,0
Quarterly Results,Profit before tax,12,14,17,24
Quarterly Results,Tax %,25%,25%,25%,26%
Quarterly Results,Net Profit,9,10,13,18
Quarterly Results,EPS in Rs,1.16,1.37,1.38,1.94
Quarterly Results,Raw PDF,,,,
,,,,,
Profit & Loss,Sales,,,,226
Profit & Loss,Expenses,,,,159
Profit & Loss,Operating Profit,,,,67
Profit & Loss,OPM %,,,,29%
Profit & Loss,Other Income,,,,2
Profit & Loss,Interest,,,,1
Profit & Loss,Depreciation,,,,0
Profit & Loss,Profit before tax,,,,67
Profit & Loss,Tax %,,,,25%
Profit & Loss,Net Profit,,,,50
Profit & Loss,EPS in Rs,,,,5.35
Profit & Loss,Dividend Payout %,,,,0%
,,,,,
Balance Sheet,Equity Capital,,,,47
Balance Sheet,Reserves,,,,285
Balance Sheet,Borrowings,,,,0
Balance Sheet,Other Liabilities,,,,75
Balance Sheet,Total Liabilities,,,,407
Balance Sheet,Fixed Assets,,,,2
Balance Sheet,CWIP,,,,2
Balance Sheet,Investments,,,,9
Balance Sheet,Other Assets,,,,394
Balance Sheet,Total Assets,,,,407
,,,,,
Cash Flows,Cash from Operating Activity,,,,-111
Cash Flows,Cash from Investing Activity,,,,-50
Cash Flows,Cash from Financing Activity,,,,162
Cash Flows,Net Cash Flow,,,,2
,,,,,
Ratios,Debtor Days,,,,275
Ratios,Inventory Days,,,,29
Ratios,Days Payable,,,,82
Ratios,Cash Conversion Cycle,,,,222
Ratios,Working Capital Days,,,,404
Ratios,ROCE %,,,,
,,,,,
Shareholding Pattern (Quarterly),Promoters,,,67.56%,67.56%
Shareholding Pattern (Quarterly),FIIs,,,6.65%,4.53%
Shareholding Pattern (Quarterly),DIIs,,,1.45%,0.93%
Shareholding Pattern (Quarterly),Public,,,24.34%,26.97%
Shareholding Pattern (Quarterly),No. of Shareholders,,,44236,44150
,,,,,
Shareholding Pattern (Yearly),Promoters,,,,67.56%
Shareholding Pattern (Yearly),FIIs,,,,4.53%
Shareholding Pattern (Yearly),DIIs,,,,0.93%
Shareholding Pattern (Yearly),Public,,,,26.97%
Shareholding Pattern (Yearly),No. of Shareholders,,,,44150
,,,,,
